OrderNumber,EventStartTime,EventName,TicketType,OrganizationCategoryName,OrganizationName,OrganizationZipCode,OrganizationState,Quantity,OrganizationCity,School District,School Type
100984329,4/13/2023,Gallery Lessons,9th Grade Student + Special Exhibition,PreK-12,The Grayson School,19343,Radnor,-14,Pennsylvania,Unaffiliated,Private
100984329,4/13/2023,Gallery Lessons,10th Grade Student + Special Exhibition,PreK-12,The Grayson School,19343,Radnor,-14,Pennsylvania,Unaffiliated,Private
101058801,4/13/2023,Admission,Adult,PreK-12,Reach Cyber Charter School,17111,Harrisburg,7,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,Child,PreK-12,Reach Cyber Charter School,17111,Harrisburg,6,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,8th Grade Student,PreK-12,Reach Cyber Charter School,17111,Harrisburg,2,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,9th Grade Student,PreK-12,Reach Cyber Charter School,17111,Harrisburg,2,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,10th Grade Student,PreK-12,Reach Cyber Charter School,17111,Harrisburg,1,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,11th Grade Student,PreK-12,Reach Cyber Charter School,17111,Harrisburg,1,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,12th Grade Student,PreK-12,Reach Cyber Charter School,17111,Harrisburg,1,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,Adult,PreK-12,Reach Cyber Charter School,17111,Harrisburg,-4,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,Child,PreK-12,Reach Cyber Charter School,17111,Harrisburg,-3,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,8th Grade Student,PreK-12,Reach Cyber Charter School,17111,Harrisburg,-1,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,9th Grade Student,PreK-12,Reach Cyber Charter School,17111,Harrisburg,-2,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,10th Grade Student,PreK-12,Reach Cyber Charter School,17111,Harrisburg,-1,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,11th Grade Student,PreK-12,Reach Cyber Charter School,17111,Harrisburg,-1,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,12th Grade Student,PreK-12,Reach Cyber Charter School,17111,Harrisburg,-1,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,Adult,PreK-12,Reach Cyber Charter School,17111,Harrisburg,-3,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,Child,PreK-12,Reach Cyber Charter School,17111,Harrisburg,-3,Pennsylvania,Unaffiliated,Charter
101058801,4/13/2023,Admission,8th Grade Student,PreK-12,Reach Cyber Charter School,17111,Harrisburg,-1,Pennsylvania,Unaffiliated,Charter
101078441,4/13/2023,Gallery Lessons,Adult,PreK-12 Free,James G. Blaine School,19121-1801,Philadelphia,3,PA,Philadelphia City SD,Public
101078441,4/13/2023,Gallery Lessons,5th Grade Student + Special Exhibition,PreK-12 Free,James G. Blaine School,19121-1801,Philadelphia,5,PA,Philadelphia City SD,Public
101078441,4/13/2023,Gallery Lessons,6th Grade Student + Special Exhibition,PreK-12 Free,James G. Blaine School,19121-1801,Philadelphia,5,PA,Philadelphia City SD,Public
101078441,4/13/2023,Gallery Lessons,7th Grade Student + Special Exhibition,PreK-12 Free,James G. Blaine School,19121-1801,Philadelphia,5,PA,Philadelphia City SD,Public
101078441,4/13/2023,Gallery Lessons,8th Grade Student + Special Exhibition,PreK-12 Free,James G. Blaine School,19121-1801,Philadelphia,5,PA,Philadelphia City SD,Public
100976694,2/22/2023,PreK-12 In-School Post-Visit Lessons,3rd Grade Student,PreK-12 Free,Stephen Girard School,19145,Philadelphia,36,Pennsylvania,Philadelphia City SD,Public
100976694,2/22/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Stephen Girard School,19145,Philadelphia,-3,Pennsylvania,Philadelphia City SD,Public
100976694,2/22/2023,PreK-12 In-School Post-Visit Lessons,3rd Grade Student,PreK-12 Free,Stephen Girard School,19145,Philadelphia,-73,Pennsylvania,Philadelphia City SD,Public
100976694,2/24/2023,PreK-12 In-School Post-Visit Lessons,Adult,PreK-12 Free,Stephen Girard School,19145,Philadelphia,3,Pennsylvania,Philadelphia City SD,Public
101110905,4/13/2023,Gallery Lessons,Adult,PreK-12,The Grayson School,19343,Radnor,4,Pennsylvania,Unaffiliated,Private
101110905,4/13/2023,Gallery Lessons,9th Grade Student + Special Exhibition,PreK-12,The Grayson School,19343,Radnor,16,Pennsylvania,Unaffiliated,Private
