school_id,school_code,school_name,principal_name,sector,network,network_from_pdf,city_council_district,grades_served,admission_category,report_type,enrollment_oct1,students_served_full_year,pct_american_indian,pct_asian,pct_black,pct_hispanic,pct_multiracial,pct_pacific_islander,pct_white,pct_iep,pct_english_learners,pct_economically_disadvantaged,student_attendance_2324,teacher_attendance_2324,pct_attend_95plus,pct_attend_90plus,dropouts_2324,graduation_rate_2324,keystone_algebra_2324,keystone_biology_2324,keystone_literature_2324,pssa_grade3_reading,pssa_grade3_8_reading,pssa_grade3_math,pssa_grade3_8_math,pssa_science,nocti_2324,pdf_url
3388,3388,Boys' Latin of Philadelphia Charter School,"Robert Parker and Michael Sanford
Sector Charter",Charter,Charters,Charters,District 3,6-12,Citywide,High School,774,,0.0,0.0,93.3,1.4,5.2,0.0,0.1,,0.0,73.9,60.8,,28.9,60.8,0.0,87.8,14.1,18.6,34.9,,22.1,,5.9,23.3,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3388%5D_SP_SPREE_SPOTlight.pdf
3389,3389,Keystone Academy Charter School,"Claudia Lyles
Sector Charter",Charter,Charters,Charters,District 6,K-8,Citywide,High School,664,666.0,0.0,7.5,37.4,29.8,8.6,0.0,16.7,28.3,10.2,84.2,81.1,,50.3,81.1,3.0,,,,,48.6,47.4,33.3,24.7,68.2,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3389%5D_SP_SPREE_SPOTlight.pdf
3392,3392,Southwest Leadership Academy Charter School,Leigh Purnell,Charter,Charters,Charters,District 2,K-8,Citywide,High School,579,627.0,0.0,1.4,88.6,7.9,1.9,0.0,0.2,17.6,7.3,61.3,,,40.2,64.4,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3392%5D_SP_SPREE_SPOTlight.pdf
3393,3393,Mastery Charter School at Pickett,Joel Boyd,Charter,Charters,Charters,District 8,6-12,Citywide,High School,914,,0.6,0.0,92.2,4.3,2.6,0.0,0.3,,0.1,95.3,,,43.3,72.3,,,22.6,39.1,61.4,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3393%5D_SP_SPREE_SPOTlight.pdf
3394,3394,Pan American Academy Charter School,"Mercedes Mason
Sector Charter",Charter,Charters,Charters,District 7,K-8,Citywide,High School,762,774.0,0.0,0.0,6.7,84.4,8.5,0.0,0.4,26.0,21.8,92.1,62.3,,30.0,62.3,0.0,,,,,22.6,20.8,11.8,7.2,26.1,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3394%5D_SP_SPREE_SPOTlight.pdf
3395,3395,Antonia Pantoja Charter School,"Sandra Gonzalez
Sector Charter",Charter,Charters,Charters,District 7,K-8,Citywide,High School,710,714.0,0.0,0.3,2.1,94.1,3.0,0.0,0.6,33.5,10.1,75.1,79.3,,51.7,79.3,22.0,,,,,35.7,34.1,14.3,14.0,56.8,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3395%5D_SP_SPREE_SPOTlight.pdf
3399,3399,Sankofa Freedom Academy Charter School,"Tameka Bowman
Sector Charter",Charter,Charters,Charters,District 1,K-12,Citywide,High School,664,,0.8,0.0,91.7,4.4,2.4,0.2,0.6,,0.8,86.5,67.9,,40.0,67.9,6.0,91.9,19.1,16.7,52.4,37.7,34.1,30.2,17.3,41.8,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3399%5D_SP_SPREE_SPOTlight.pdf
3403,3403,Franklin Towne Charter Elementary School,"James Rodgers
Sector Charter",Charter,Charters,Charters,District 6,K-8,Citywide,High School,956,972.0,0.1,2.7,6.7,12.2,5.9,0.0,72.4,20.0,3.1,66.7,87.4,,50.1,87.4,0.0,,,,,58.1,50.7,44.8,29.9,63.0,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3403%5D_SP_SPREE_SPOTlight.pdf
3404,3404,Tacony Academy Charter School,,Charter,Charters,Charters,District 10,K-12,Citywide,High School,1072,,0.2,7.0,36.3,23.0,11.7,0.1,21.7,,5.5,74.5,,,37.1,67.5,,,36.4,29.3,43.0,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3404%5D_SP_SPREE_SPOTlight.pdf
3407,3407,Mastery Charter School at Harrity,Ayo Akinmoladun,Charter,Charters,Charters,District 3,K-8,Catchment,High School,783,834.0,0.5,0.5,92.5,2.9,2.9,0.1,0.5,21.0,1.7,100.0,,,39.6,72.9,,,,,,,,,,,,https://cdn.philasd.org/offices/performance/SPREE_Files/2023-2024/Reports/%5B3407%5D_SP_SPREE_SPOTlight.pdf
