OrganizationName,OrganizationZipCode,School District,School Type
Immaculate Conception School,10455,Unaffiliated,Catholic
Jack M. Barrack Hebrew Academy,19010,Unaffiliated,Private
Jenkintown El Sch,19046,Jenkintown SD,Public
Kidz 1st Stepz Child Care Center,19144,Unaffiliated,Other
Kimberton Waldorf School,19442,Unaffiliated,Private
Lehigh Valley Charter High School for the Arts,18015,Unaffiliated,Charter
Liguori Academy-Fortis,19134,Philadelphia City SD,Public
Lionville Middle School,19382,Downingtown Area SD,Public
Lititz Christian School,17543-8707,Unaffiliated,Private
Little City Montessori,19122,Unaffiliated,Private
MS 244,10463,New York City SD,Public
Mainland Regional HS,8221,Mainland Regional SD,Public
Maret School,20016,Unaffiliated,Private
Maritime Academy Charter School (MACHS),19125,Unaffiliated,Charter
Martin Saints Classical High School,19075,Unaffiliated,Private
Methacton HS,19403-1048,Methacton SD,Public
Middle Township High School,8210,Middle Township SD,Public
Middlesex Middle School,6820,Darien SD,Public
Moore College of Art and Design,19103-1108,Unaffiliated,Other
Moorestown Friends School,08057-2949,Unaffiliated,Private
Moorestown High School,8057,Moorestown Township SD,Public
Morgan Village Middle School,8104,Camden City SD,Public
Mother Divine Grace School,19134,Archdiocese of Philadelphia,Archdiocese
Nazareth Academy High School,19114-2900,Archdiocese of Philadelphia,Archdiocese
Nether Providence El Sch,19086-6907,Wallingford-Swarthmore SD,Public
Norris Square Community Alliance,19122,Philadelphia City SD,Public
Norristown Area HS,19403,Norristown Area SD,Public
North Montco Tech Career Center,19446,Unaffiliated,Other
North Penn High School,19446,North Penn SD,Public
Norwood Fontbonne Academy,19118,Archdiocese of Philadelphia,Archdiocese
OSP Olney School,19120-3246,Philadelphia City SD,Public
Oldfields School,21152,Unaffiliated,Public
Oneonta Senior HS,13820-2610,Unaffiliated,Public
Our Lady of Hope Regional Catholic School,19148,Archdiocese of Philadelphia,Archdiocese
Owen J Roberts HS,19465,Owen J. Roberts SD,Public
Padua Academy,19806,Unaffiliated,Private
Penncrest HS,19063,Rose Tree Media SD,Public
Pennridge HS,18944,Pennridge SD,Public
Penns Valley Area JSHS,16875,Penns Valley Area SD,Public
Pennsauken High School,8110,Pennsauken SD,Public
Phila. Art Teachers Alliance,19103,,
Phila. Juv. Justice Services Ctr. School,19144,Philadelphia City SD,Other
Philadelphia Museum of Art,19101-7646,,
Phoenixville Area HS,19460,Phoenixville Area SD,Public
Piscataway Township Schools,8854,,
Pittston Area SHS,18640,Pittston Area SD,Public
Pleasant Valley HS,18322,Pleasant Valley SD,Public
Pocono Mountain West HS,18346,Pocono Mountain SD,Public
Politz Day School of Cherry Hill,8002,Unaffiliated,Private
Princeton Academy of the Sacred Heart,8540,Unaffiliated,Private
Princeton Charter School,8540,Unaffiliated,Charter
Princeton Montessori School,8540,Unaffiliated,Private
Prodigy Learning Center,19132,Unaffiliated,Private
Quadrat Academy,19123,Unaffiliated,Private
Quakertown Christian School,18951,Unaffiliated,Private
Quakertown Community HS,18951,Quakertown Community SD,Public
Radnor MS,19087-4121,Radnor Township SD,Public
Radnor SHS,19087,Radnor Township SD,Public
Rancocas Valley Regional High School,8060,Rancocas Valley SD,Public
Randolph A. Philip AVT HS,19129,Philadelphia City SD,Public
Raritan HS,7730,Hazlet Board of Education,Public
Reach Cyber Charter School,17111,Unaffiliated,Charter
Renaissance Academy CS,19460,Unaffiliated,Charter
Resurrection Regional Catholic School,19152,Archdiocese of Philadelphia,Archdiocese
Rhawnhurst -Bright Futures,19152-3603,Philadelphia City SD,Public
Riletta Twyne Cream Family School,8104,Camden City SD,Public
Riverside High School,8075,Riverside Township Public Schools,Public
Rutgers Preparatory School,8873,Unaffiliated,Private
Saint Cecilia School,8110,Catholic Partnership Schools,Catholic
Saint John's Catholic Prep,21717,Unaffiliated,Private
